circuito,rodada,data,quem
Sakhir,1,2022-03-20,
Jeddah,2,2022-03-27,
Melbourne,3,2022-04-10,
Barcelona,6,2022-05-22,
Monte Carlo,7,2022-05-29,
Baku,8,2022-06-12,
Montreal,9,2022-06-19,
Silverstone,10,2022-07-03,
Spielberg,11,2022-07-10,
Le Castellet,12,2022-07-24,
Budapest,13,2022-07-31,
Spa,14,2022-08-28,
Zandvoort,15,2022-09-04,
Monza,16,2022-09-11,
Marina Bay,17,2022-10-02,
Suzuka,18,2022-10-09,
Austin,19,2022-10-23,
Mexico City,20,2022-10-30,
São Paulo,21,2022-11-13,
Abu Dhabi,22,2022-11-20,
